"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2023","4,166.82","4,147.65","4,177.43","4,133.13","","1.20%"
"10/27/2023","4,117.37","4,155.16","4,156.70","4,104.18","","-0.48%"
"10/26/2023","4,137.23","4,174.35","4,183.11","4,128.73","","-1.18%"
"10/25/2023","4,186.77","4,229.06","4,229.06","4,181.69","","-1.43%"
"10/24/2023","4,247.68","4,237.45","4,259.30","4,219.68","","0.73%"
"10/23/2023","4,217.04","4,208.91","4,254.94","4,189.53","","-0.17%"
"10/20/2023","4,224.16","4,272.93","4,276.28","4,223.66","","-1.26%"
"10/19/2023","4,278.00","4,322.20","4,339.47","4,269.79","","-0.85%"
"10/18/2023","4,314.60","4,356.10","4,364.01","4,304.02","","-1.34%"
"10/17/2023","4,373.20","4,345.23","4,393.53","4,338.02","","-0.01%"
"10/16/2023","4,373.63","4,346.25","4,383.25","4,346.25","","1.06%"
"10/13/2023","4,327.78","4,363.04","4,376.98","4,312.18","","-0.50%"
"10/12/2023","4,349.61","4,381.70","4,385.85","4,325.85","","-0.62%"
"10/11/2023","4,376.95","4,368.35","4,378.58","4,345.57","","0.43%"
"10/10/2023","4,358.24","4,342.75","4,385.24","4,339.66","","0.52%"
"10/09/2023","4,335.66","4,308.50","4,341.73","4,284.12","","0.63%"
"10/06/2023","4,308.50","4,236.75","4,323.93","4,219.93","","1.18%"
"10/05/2023","4,258.19","4,258.67","4,267.00","4,225.91","","-0.13%"
"10/04/2023","4,263.75","4,234.50","4,268.36","4,220.94","","0.81%"
"10/03/2023","4,229.45","4,268.40","4,280.36","4,216.52","","-1.37%"
"10/02/2023","4,288.39","4,283.63","4,300.31","4,260.44","","0.01%"
"09/29/2023","4,288.05","4,332.23","4,332.43","4,274.86","","-0.27%"
"09/28/2023","4,299.70","4,269.45","4,316.88","4,264.79","","0.59%"
"09/27/2023","4,274.51","4,285.52","4,291.63","4,238.63","","0.02%"
"09/26/2023","4,273.53","4,311.12","4,312.89","4,266.10","","-1.47%"
"09/25/2023","4,337.44","4,308.71","4,338.51","4,303.34","","0.40%"
"09/22/2023","4,320.06","4,341.16","4,356.99","4,317.04","","-0.23%"
"09/21/2023","4,330.00","4,372.57","4,375.44","4,329.96","","-1.64%"
"09/20/2023","4,402.20","4,456.00","4,460.73","4,401.72","","-0.94%"
"09/19/2023","4,443.95","4,444.29","4,449.07","4,416.73","","-0.22%"
